,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Meta_scores,User_scores
1468,2648,UFC Personal Trainer: The Ultimate Fitness System,X360,2011,Sports,THQ,0.53,0.19,0.0,0.06,0.78,70,6.4
1469,2649,Resident Evil: Operation Raccoon City,X360,2012,Action,Capcom,0.55,0.15,0.03,0.06,0.78,52,4.9
1470,2650,NBA 2K7,PS2,2006,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11,0.78,81,8.4
1471,2656,Banjo-Kazooie: Nuts & Bolts,X360,2008,Platform,Microsoft Game Studios,0.32,0.36,0.0,0.09,0.78,79,6.7
1472,2659,Harry Potter and the Half-Blood Prince,Wii,2009,Action,Electronic Arts,0.28,0.4,0.0,0.09,0.77,60,5.7
1473,2660,DJ Hero,Wii,2009,Misc,Activision,0.47,0.23,0.0,0.07,0.77,87,7.1
1474,2661,Perfect Dark Zero,X360,2005,Shooter,Microsoft Game Studios,0.66,0.02,0.03,0.06,0.77,81,7.2
1475,2665,Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.05,0.77,73,5.9
1476,2668,Duke Nukem Forever,PS3,2011,Shooter,Take-Two Interactive,0.33,0.31,0.0,0.12,0.77,51,4.9
1477,2669,Freedom Wars,PSV,2014,Role-Playing,Sony Computer Entertainment,0.22,0.14,0.32,0.1,0.77,73,8.3
1478,2670,Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,Electronic Arts,0.64,0.02,0.0,0.1,0.77,53,6.2
1479,2673,Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1,0.77,57,7.3
1480,2675,Conker's Bad Fur Day,N64,2001,Platform,THQ,0.53,0.22,0.0,0.02,0.77,92,9.0
1481,2677,Star Wars Episode II: Attack of the Clones,GBA,2002,Action,THQ,0.55,0.2,0.0,0.01,0.77,38,3.3
1482,2684,Donkey Kong Country 3,GBA,2005,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77,77,8.2
1483,2685,All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77,81,8.3
1484,2691,Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.22,0.47,0.0,0.08,0.76,62,7.0
1485,2692,The Sims 3,3DS,2011,Simulation,Electronic Arts,0.3,0.37,0.03,0.07,0.76,52,3.0
1486,2697,Mortal Kombat,PSV,2012,Fighting,Warner Bros. Interactive Entertainment,0.47,0.18,0.0,0.12,0.76,85,7.9
1487,2699,Lost Planet 2,X360,2010,Shooter,Capcom,0.38,0.24,0.08,0.06,0.76,68,6.2
1488,2700,SoulCalibur V,PS3,2012,Fighting,Namco Bandai Games,0.35,0.24,0.07,0.1,0.76,81,6.6
1489,2701,Portal 2,PC,2011,Shooter,Valve Software,0.33,0.32,0.0,0.11,0.76,95,9.1
1490,2703,Pro Evolution Soccer 2015,PS4,2014,Sports,Konami Digital Entertainment,0.09,0.43,0.11,0.13,0.76,82,7.1
1491,2704,Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ,0.29,0.39,0.0,0.08,0.76,58,6.0
1492,2705,The Lord of the Rings: Conquest,PS3,2009,Action,Electronic Arts,0.38,0.26,0.0,0.12,0.76,54,7.0
1493,2707,Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0.0,0.01,0.76,84,8.6
1494,2710,Syphon Filter: The Omega Strain,PS2,2004,Shooter,Sony Computer Entertainment,0.37,0.29,0.0,0.1,0.76,65,7.1
1495,2713,Kane & Lynch: Dead Men,X360,2007,Shooter,Eidos Interactive,0.36,0.31,0.01,0.08,0.76,65,3.3
1496,2714,Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.14,0.48,0.0,0.14,0.76,80,7.6
1497,2715,Mortal Kombat: Deception,XB,2004,Fighting,Midway Games,0.61,0.12,0.0,0.03,0.76,81,8.7
1498,2720,Need for Speed: Shift,PSP,2009,Racing,Electronic Arts,0.16,0.38,0.01,0.21,0.76,69,6.3
1499,2721,Kane & Lynch: Dead Men,PS3,2007,Shooter,Eidos Interactive,0.29,0.32,0.01,0.13,0.76,64,3.8
1500,2722,Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.2,0.01,0.06,0.76,91,7.9
1501,2723,True Crime: New York City,PS2,2005,Action,Activision,0.57,0.02,0.07,0.09,0.76,60,7.7
1502,2724,Legends of Wrestling,PS2,2001,Fighting,Acclaim Entertainment,0.37,0.29,0.0,0.1,0.76,55,7.8
1503,2725,Rockstar Games presents Table Tennis,X360,2006,Sports,Take-Two Interactive,0.28,0.39,0.0,0.09,0.76,81,7.6
1504,2726,Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.24,0.44,0.0,0.08,0.76,65,5.2
1505,2727,Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76,55,6.1
1506,2730,Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0.0,0.11,0.76,76,4.4
1507,2731,Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.47,0.21,0.01,0.07,0.75,84,7.9
1508,2732,Spectrobes,DS,2007,Role-Playing,Disney Interactive Studios,0.67,0.03,0.0,0.06,0.75,63,7.6
1509,2734,WWE SmackDown vs. Raw 2009,PSP,2008,Fighting,THQ,0.41,0.21,0.0,0.14,0.75,72,6.5
1510,2735,Band Hero,PS3,2009,Misc,Activision,0.41,0.24,0.0,0.11,0.75,76,7.1
1511,2737,Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.17,0.39,0.0,0.19,0.75,87,8.9
1512,2738,DJ Hero 2,PS3,2010,Misc,Activision,0.47,0.19,0.0,0.09,0.75,86,7.9
1513,2739,The Godfather II,PS3,2009,Action,Electronic Arts,0.41,0.22,0.01,0.11,0.75,67,7.2
1514,2740,WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ,0.51,0.17,0.0,0.07,0.75,78,7.9
1515,2741,Turok,X360,2008,Action,Touchstone,0.46,0.21,0.01,0.07,0.75,69,7.0
1516,2743,Shark Tale,PS2,2004,Action,Activision,0.37,0.29,0.0,0.1,0.75,69,6.1
1517,2746,Zone of the Enders,PS2,2001,Shooter,Konami Digital Entertainment,0.3,0.24,0.13,0.08,0.75,78,7.1
1518,2747,Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.33,0.28,0.02,0.12,0.75,85,8.0
1519,2749,Madden NFL 06,PSP,2005,Sports,Electronic Arts,0.69,0.0,0.0,0.06,0.75,75,7.9
1520,2750,Coded Arms,PSP,2005,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.18,0.75,59,6.5
1521,2751,Tony Hawk's Underground 2,XB,2004,Sports,Activision,0.48,0.24,0.0,0.03,0.75,83,7.4
1522,2752,Tales of Vesperia,X360,2008,Role-Playing,Atari,0.32,0.18,0.19,0.05,0.75,79,8.6
1523,2755,Split/Second,PS3,2010,Racing,Disney Interactive Studios,0.31,0.31,0.01,0.12,0.75,84,8.0
1524,2756,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001,Fighting,Capcom,0.22,0.17,0.3,0.06,0.75,81,8.2
1525,2757,MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,0.62,0.02,0.0,0.1,0.75,76,8.6
1526,2759,Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.22,0.01,0.06,0.75,74,6.8
1527,2761,Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.16,0.0,0.09,0.75,74,7.1
1528,2762,Sega Superstars Tennis,DS,2008,Sports,Sega,0.29,0.37,0.0,0.08,0.75,65,8.0
1529,2764,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74,77,6.8
1530,2767,Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.22,0.24,0.09,0.74,72,8.0
1531,2768,Burnout,PS2,2001,Racing,Acclaim Entertainment,0.36,0.28,0.0,0.1,0.74,79,7.5
1532,2772,Mortal Kombat: Unchained,PSP,2006,Fighting,Midway Games,0.67,0.01,0.0,0.06,0.74,70,8.4
1533,2775,Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74,72,5.8
1534,2776,LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82,8.0
1535,2777,Blur,PS3,2010,Racing,Activision,0.22,0.37,0.02,0.13,0.74,81,8.1
1536,2779,Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0.0,0.0,0.05,0.74,49,7.3
1537,2780,Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74,84,7.4
1538,2781,Crysis 2,PC,2011,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,86,7.0
1539,2783,Tiger Woods PGA Tour 2001,PS2,2001,Sports,Electronic Arts,0.36,0.28,0.0,0.09,0.74,74,tbd
1540,2784,Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.3,0.0,0.08,0.74,55,7.0
1541,2786,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.25,0.14,0.08,0.74,74,7.0
1542,2787,Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0.0,0.03,0.74,83,8.2
1543,2790,Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.38,0.0,0.14,0.74,79,6.6
1544,2792,Sword of Mana,GBA,2003,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72,8.4
1545,2794,Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.28,0.16,0.22,0.08,0.73,74,7.9
1546,2795,The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.73,66,4.6
1547,2798,Classic NES Series: Donkey Kong,GBA,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55,6.1
1548,2799,Call of Duty: Ghosts,PC,2013,Shooter,Activision,0.23,0.41,0.0,0.09,0.73,68,2.3
1549,2802,F1 2011,X360,2011,Racing,Codemasters,0.11,0.51,0.01,0.09,0.73,84,7.2
1550,2803,Madden NFL 10,Wii,2009,Sports,Electronic Arts,0.63,0.04,0.0,0.06,0.73,77,7.1
1551,2804,Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.37,0.0,0.32,0.04,0.73,86,7.8
1552,2807,Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,0.54,0.16,0.0,0.03,0.73,80,8.7
1553,2809,NHL 11,X360,2010,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,88,7.7
1554,2810,Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.32,0.34,0.0,0.07,0.73,85,6.0
1555,2812,DiRT 3,X360,2011,Racing,Codemasters,0.23,0.41,0.01,0.08,0.73,87,7.1
1556,2813,NCAA Football 07,X360,2006,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,79,7.0
1557,2815,Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,84,8.5
1558,2816,Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86,8.8
1559,2818,Ratchet & Clank Collection,PS3,2012,Action,Sony Computer Entertainment,0.47,0.14,0.02,0.09,0.73,83,8.2
1560,2820,Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,64,8.6
1561,2821,MX vs. ATV Reflex,X360,2009,Racing,THQ,0.52,0.15,0.0,0.06,0.73,75,6.5
1562,2823,SSX,X360,2012,Sports,Electronic Arts,0.38,0.28,0.0,0.06,0.72,82,6.4
1563,2825,James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,74,6.8
1564,2826,XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.26,0.36,0.0,0.1,0.72,89,8.2
1565,2827,Rabbids Go Home,DS,2009,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72,70,5.8
1566,2828,Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,73,8.0
1567,2829,Ultimate Spider-Man,PS2,2005,Action,Activision,0.6,0.02,0.0,0.1,0.72,74,8.2
1568,2835,NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68,6.7
1569,2836,Dead to Rights,XB,2002,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,73,7.8
1570,2837,Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,79,6.0
1571,2841,Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0.0,0.0,0.05,0.72,79,7.1
1572,2842,X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,72,8.3
1573,2843,Terraria,X360,2013,Action,505 Games,0.35,0.31,0.0,0.06,0.72,81,7.2
1574,2848,Skate,X360,2007,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,86,8.4
1575,2849,Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72,82,7.6
1576,2850,Driver: San Francisco,X360,2011,Racing,Ubisoft,0.25,0.39,0.0,0.08,0.72,80,7.8
1577,2851,MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.72,90,8.1
1578,2853,Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,66,8.5
1579,2854,Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72,79,8.2
1580,2857,Crysis,PC,2007,Shooter,Electronic Arts,0.0,0.69,0.0,0.03,0.72,91,8.1
1581,2858,Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.71,87,8.2
1582,2859,The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,79,8.2
1583,2860,Madden NFL 2003,XB,2002,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,92,7.1
1584,2862,MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71,87,7.9
1585,2865,Virtua Fighter 4: Evolution,PS2,2003,Fighting,Sega,0.35,0.27,0.0,0.09,0.71,93,8.7
1586,2866,Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0.4,0.0,0.14,0.71,82,7.6
1587,2867,Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39,6.1
1588,2870,Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.33,0.07,0.27,0.04,0.71,83,5.8
1589,2871,Madden NFL 08,PSP,2007,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,75,7.6
1590,2872,Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari,0.55,0.14,0.0,0.02,0.71,73,7.3
1591,2873,Jeremy McGrath Supercross 2000,PS,2000,Racing,Acclaim Entertainment,0.4,0.27,0.0,0.05,0.71,43,tbd
1592,2875,Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,85,8.6
1593,2876,Madden NFL 09,PSP,2008,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,68,6.0
1594,2879,LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0.0,0.07,0.71,70,6.9
1595,2880,MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.05,0.71,91,7.8
1596,2881,Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71,48,5.1
1597,2887,Blast Corps,N64,1997,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,90,8.3
1598,2891,Football Manager 2014,PC,2013,Sports,Sega,0.0,0.6,0.0,0.1,0.71,85,5.7
1599,2896,Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71,95,7.6
1600,2897,Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.23,0.0,0.07,0.71,50,5.4
1601,2898,Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0.0,0.03,0.71,77,8.5
1602,2899,NCAA Football 09,X360,2008,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,83,7.7
1603,2900,NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,77,7.5
1604,2901,Ratchet & Clank: Into the Nexus,PS3,2013,Shooter,Sony Computer Entertainment,0.3,0.29,0.0,0.11,0.71,76,8.1
1605,2902,Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0.0,0.14,0.71,67,6.4
1606,2903,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71,73,4.8
1607,2905,NHL 12,X360,2011,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,86,7.1
1608,2906,Tony Hawk's Underground,GC,2003,Sports,Activision,0.54,0.14,0.0,0.02,0.7,89,7.6
1609,2907,Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,68,7.1
1610,2910,The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0.32,0.31,0.0,0.07,0.7,50,2.2
1611,2911,Star Wars: Obi-Wan,XB,2001,Action,Activision,0.52,0.16,0.0,0.02,0.7,58,5.5
1612,2912,NCAA Football 08,X360,2007,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,81,7.8
1613,2915,Madden NFL 2005,GC,2004,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7,90,5.6
1614,2916,F-14 Tomcat,GBA,2001,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7,67,8.0
1615,2919,Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7,89,8.4
1616,2921,The Sims 3,DS,2010,Simulation,Electronic Arts,0.39,0.25,0.0,0.06,0.7,73,6.2
1617,2923,Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.13,0.7,75,7.4
1618,2925,Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92,8.8
1619,2928,Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7,66,7.0
1620,2929,NASCAR 2001,PS2,2000,Racing,Electronic Arts,0.34,0.27,0.0,0.09,0.7,66,6.5
1621,2930,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.26,0.0,0.1,0.7,81,7.4
1622,2933,Mafia,PS2,2004,Action,Illusion Softworks,0.34,0.27,0.0,0.09,0.7,65,8.3
1623,2936,TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,90,8.7
1624,2937,MotionSports,X360,2010,Sports,Ubisoft,0.38,0.26,0.0,0.06,0.7,40,4.0
1625,2938,MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85,8.2
1626,2939,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,73,7.3
1627,2946,Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69,65,7.5
1628,2951,Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,89,7.9
1629,2953,Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,77,8.8
1630,2954,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0.0,0.0,0.05,0.69,68,8.1
1631,2956,Mario Pinball Land,GBA,2004,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,62,4.4
1632,2959,Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,65,6.8
1633,2961,The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.09,0.01,0.07,0.69,85,8.7
1634,2962,One Piece: Pirate Warriors 2,PS3,2013,Action,Namco Bandai Games,0.0,0.2,0.42,0.07,0.69,71,7.8
1635,2963,Assassin's Creed IV: Black Flag,PC,2013,Action,Ubisoft,0.22,0.38,0.0,0.1,0.69,84,8.0
1636,2964,Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77,8.1
1637,2966,The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84,8.2
1638,2968,MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0.0,0.06,0.69,70,6.9
1639,2969,The Last Remnant,X360,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.69,66,6.7
1640,2972,Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78,8.3
1641,2973,Shark Tale,GBA,2004,Action,Activision,0.49,0.18,0.0,0.01,0.68,63,7.8
1642,2979,NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,89,8.0
1643,2980,Iron Man,PS3,2008,Action,Sega,0.32,0.25,0.0,0.11,0.68,42,6.0
1644,2982,Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68,60,6.7
1645,2983,NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,89,7.8
1646,2985,Rayman Legends,WiiU,2013,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68,92,8.7
1647,2987,Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85,8.6
1648,2998,FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80,7.5
1649,3000,Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68,63,6.7
1650,3001,Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85,8.3
1651,3003,Mass Effect,PC,2008,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.09,0.68,89,8.6
1652,3006,Turok,PS3,2008,Action,Touchstone,0.35,0.22,0.01,0.1,0.68,67,6.0
1653,3007,Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,74,7.8
1654,3009,Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.24,0.0,0.11,0.67,86,7.7
1655,3011,Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,84,8.5
1656,3013,Lollipop Chainsaw,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67,67,7.3
1657,3014,The Darkness,PS3,2007,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67,80,7.7
1658,3018,Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft,0.35,0.22,0.0,0.1,0.67,67,6.9
1659,3020,Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67,79,8.0
1660,3025,Armored Core 3,PS2,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,74,8.6
1661,3028,The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.2,0.42,0.0,0.05,0.67,93,9.1
1662,3030,The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,71,7.1
1663,3035,Castlevania: Lords of Shadow,X360,2010,Action,Konami Digital Entertainment,0.42,0.18,0.01,0.05,0.67,83,7.9
1664,3036,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.28,0.3,0.0,0.08,0.67,94,8.6
1665,3040,007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67,54,7.3
1666,3041,Rock Band 3,Wii,2010,Misc,MTV Games,0.56,0.06,0.0,0.05,0.67,91,6.8
1667,3042,Command & Conquer: Red Alert 3,PC,2008,Strategy,Electronic Arts,0.01,0.64,0.0,0.02,0.67,82,6.9
1668,3047,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67,81,9.0
1669,3048,NHL 13,X360,2012,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67,83,6.5
1670,3049,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,0.25,0.26,0.05,0.11,0.67,77,6.9
1671,3054,NFL Street,XB,2004,Sports,Electronic Arts,0.49,0.15,0.0,0.02,0.66,81,8.8
1672,3055,Shaun White Snowboarding,PS3,2008,Sports,Ubisoft,0.31,0.24,0.01,0.1,0.66,63,6.3
1673,3058,MLB 2004,PS2,2003,Sports,Sony Computer Entertainment,0.32,0.25,0.0,0.08,0.66,61,7.9
1674,3061,Darkstone,PS,2001,Role-Playing,Electronic Arts,0.37,0.25,0.0,0.04,0.66,58,7.6
1675,3062,NCAA March Madness 2003,PS2,2002,Sports,Electronic Arts,0.32,0.25,0.0,0.08,0.66,74,7.9
1676,3063,Finding Nemo,XB,2003,Action,THQ,0.48,0.16,0.0,0.02,0.66,63,7.4
1677,3064,Thrillville,PS2,2006,Strategy,Atari,0.55,0.02,0.0,0.09,0.66,69,3.3
1678,3065,NHL 10,X360,2009,Sports,Electronic Arts,0.51,0.1,0.0,0.06,0.66,88,8.3
1679,3067,Madagascar,GC,2005,Platform,Activision,0.52,0.13,0.0,0.02,0.66,70,8.2
1680,3071,Rayman Legends,PS3,2013,Platform,Ubisoft,0.14,0.38,0.0,0.14,0.66,91,8.6
1681,3073,Street Fighter Anniversary Collection,PS2,2004,Fighting,Capcom,0.32,0.25,0.0,0.08,0.66,78,8.5
1682,3075,Napoleon: Total War,PC,2010,Strategy,Sega,0.02,0.52,0.0,0.12,0.66,81,7.9
1683,3076,Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66,60,7.1
1684,3077,Wario: Master of Disguise,DS,2007,Platform,Nintendo,0.28,0.02,0.33,0.03,0.66,60,7.6
1685,3080,Tiger Woods PGA Tour 09,PS3,2008,Sports,Electronic Arts,0.34,0.22,0.0,0.1,0.66,82,7.1
1686,3084,Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,0.47,0.17,0.0,0.01,0.66,71,7.4
1687,3087,Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66,77,8.0
1688,3093,F1 2015,PS4,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66,65,6.4
1689,3094,Scene It? Box Office Smash,X360,2008,Misc,Microsoft Game Studios,0.33,0.25,0.0,0.07,0.66,76,7.4
